image,arith_mean,arith_sort,arith_skew,arith_kurt,geom_mean,geom_sort,geom_skew,geom_kurt,p=5,p=10,p=16,p=25,p=50,p=75,p=84,p=90,p=95,prc_silt,prc_sand,prc_gravel,prc_cobble,13.444948,19.928689,26.412430,32.896172,39.379913,45.863655,52.347396,58.831138,65.314879,71.798620,78.282362,84.766103,91.249845,97.733586,104.217327,110.701069,117.184810,123.668552,130.152293,136.636034,143.119776,149.603517,156.087259
PICT0170.jpg,43.573621,26.224699,0.016832,0.063875,33.108298,153.665756,-0.111554,1.252416,7.936066,14.978902,17.699976,21.776455,33.849288,49.048374,60.574293,75.117860,94.891691,NaN,NaN,NaN,NaN,0.092122,0.155941,0.165605,0.120109,0.129104,0.100376,0.057918,0.037834,0.028521,0.022512,0.018899,0.016527,0.012957,0.009316,0.006552,0.005657,0.005074,0.004477,0.003531,0.002679,0.001916,0.001388,0.000985
PICT0173.jpg,39.697676,22.725526,0.015431,0.061128,30.837078,161.508916,-0.163471,1.194667,7.926089,13.438408,16.364312,20.519091,32.351309,45.583516,55.389833,67.308319,81.196692,NaN,NaN,NaN,NaN,0.078009,0.121897,0.134814,0.116264,0.135366,0.114556,0.083477,0.048130,0.031497,0.029421,0.027063,0.021026,0.014645,0.009898,0.006839,0.005038,0.004147,0.003593,0.003364,0.003134,0.002903,0.002617,0.002301
PICT0175.jpg,52.563907,32.582021,0.012816,0.042385,40.285763,131.378781,-0.054522,1.192797,8.614136,16.373380,20.033632,25.233167,39.266281,61.832012,83.114217,100.069513,116.968764,NaN,NaN,NaN,NaN,0.092318,0.126445,0.149219,0.128717,0.115505,0.082731,0.057722,0.039924,0.028582,0.026421,0.027214,0.027662,0.025168,0.020764,0.015794,0.011653,0.008182,0.005243,0.003549,0.002458,0.001941,0.001553,0.001235
PICT0177.jpg,41.193239,23.862204,0.009362,0.033470,31.793249,145.767988,-0.082600,0.948843,8.066635,12.791106,15.669759,19.805666,31.738103,54.506189,64.619185,72.920727,84.057070,NaN,NaN,NaN,NaN,0.070516,0.113586,0.120527,0.126972,0.092890,0.070718,0.063891,0.050866,0.043788,0.049126,0.048205,0.039892,0.030759,0.022774,0.016297,0.011870,0.008588,0.005927,0.004357,0.003173,0.002346,0.001723,0.001207
PICT0178.jpg,44.704703,31.753106,0.016490,0.055079,31.728439,127.087853,-0.100951,1.296493,4.799696,9.599392,14.947373,18.764122,31.829546,51.028216,67.135275,87.569198,113.677117,NaN,NaN,NaN,NaN,0.152319,0.166763,0.126058,0.126639,0.102100,0.068756,0.049821,0.035811,0.027586,0.021476,0.017739,0.015676,0.014382,0.013126,0.011685,0.010048,0.008843,0.007765,0.006714,0.005653,0.004581,0.003654,0.002804
PICT0179.jpg,42.250754,26.309911,0.011655,0.039165,31.933261,137.304189,-0.075106,1.033784,7.698763,12.566609,15.300887,19.616989,32.110198,53.017580,66.278127,77.741904,94.531376,NaN,NaN,NaN,NaN,0.073886,0.119583,0.110384,0.109603,0.107556,0.082942,0.061414,0.055704,0.045120,0.035874,0.035545,0.032096,0.026513,0.021233,0.016791,0.012982,0.010713,0.009090,0.008289,0.007482,0.006668,0.005751,0.004780
PICT0180.jpg,43.540885,25.405517,0.014902,0.059985,33.270738,151.171058,-0.226917,1.230226,6.629968,13.259937,16.703615,21.838084,35.585591,51.672924,61.958752,71.523539,87.965514,NaN,NaN,NaN,NaN,0.101396,0.116605,0.108661,0.119677,0.129372,0.107502,0.074545,0.059119,0.047943,0.036743,0.025815,0.017139,0.011118,0.007478,0.005587,0.004999,0.004788,0.004636,0.004330,0.003922,0.003420,0.002881,0.002323
PICT0183.JPG,34.596019,19.575023,0.013084,0.045082,27.574263,165.149985,0.056247,1.012141,10.073635,12.541315,15.129460,18.195848,26.556607,40.583616,52.181401,61.170083,73.038174,NaN,NaN,NaN,NaN,0.051964,0.115818,0.150420,0.152847,0.131532,0.093420,0.052885,0.040171,0.038152,0.036632,0.032348,0.025695,0.019921,0.015644,0.012439,0.009757,0.007156,0.004790,0.003144,0.002033,0.001413,0.001035,0.000782
PICT0187.JPG,42.645493,27.408975,0.018676,0.074768,30.621139,143.552468,-0.166691,1.328381,4.770679,9.541358,15.266173,19.463853,31.680433,49.253681,59.366676,71.817914,96.712873,NaN,NaN,NaN,NaN,0.166694,0.180552,0.147168,0.123732,0.105117,0.082695,0.053665,0.034789,0.022493,0.015738,0.012134,0.010979,0.010039,0.008614,0.006771,0.004779,0.003393,0.002364,0.002008,0.001782,0.001683,0.001510,0.001300
PICT0188.JPG,38.533159,18.847203,0.009402,0.035988,32.058208,175.207240,-0.043094,0.943682,12.479189,15.601267,18.393688,21.931307,32.211421,47.244762,55.608224,62.836042,73.048789,NaN,NaN,NaN,NaN,0.016871,0.053387,0.098407,0.118847,0.123509,0.095781,0.090446,0.079098,0.062637,0.052109,0.047348,0.041556,0.032490,0.023540,0.016527,0.012985,0.010474,0.008229,0.006006,0.004169,0.002681,0.001764,0.001139
PICT0190.JPG,48.773647,30.645655,0.014395,0.050616,36.276512,137.927289,-0.012817,1.126347,7.883061,15.766123,18.731045,23.033573,34.643457,59.929854,73.568745,88.383098,109.146161,NaN,NaN,NaN,NaN,0.100880,0.161354,0.186083,0.120398,0.071293,0.064866,0.063796,0.052089,0.040471,0.029700,0.022913,0.018740,0.016218,0.013703,0.010744,0.007613,0.005414,0.003722,0.002919,0.002339,0.001971,0.001585,0.001189
PICT0192.JPG,39.918626,20.471834,0.008436,0.031703,33.394122,165.642154,-0.078443,0.958839,11.393693,15.090802,18.273719,21.711458,33.719415,49.244697,60.437032,68.496950,77.406844,NaN,NaN,NaN,NaN,0.029140,0.054390,0.086334,0.125928,0.095684,0.083329,0.097563,0.086016,0.062836,0.044406,0.036081,0.035059,0.035179,0.032936,0.028116,0.021327,0.015466,0.010393,0.007151,0.004869,0.003458,0.002518,0.001819
PICT0195.JPG,55.468744,33.625032,0.015389,0.056278,41.432957,138.600499,-0.164282,1.255971,9.133575,17.627686,21.311238,27.127599,43.803772,63.747562,76.193441,96.906043,125.243804,NaN,NaN,NaN,NaN,0.094728,0.137041,0.108762,0.140702,0.125330,0.104530,0.074790,0.054144,0.032802,0.019379,0.016896,0.015987,0.014421,0.012645,0.010908,0.009199,0.007605,0.006076,0.004664,0.003493,0.002554,0.001913,0.001431
PICT0196.JPG,57.882972,33.232527,0.010919,0.041645,44.378910,131.095563,-0.197090,1.035637,10.977669,17.508917,21.001524,28.262823,47.783846,72.360184,87.095954,98.860684,118.093359,NaN,NaN,NaN,NaN,0.072441,0.132515,0.074812,0.096785,0.108591,0.111866,0.086755,0.051788,0.045315,0.048908,0.044615,0.033950,0.023278,0.015643,0.011067,0.008903,0.007438,0.006255,0.005380,0.004544,0.003747,0.003035,0.002370
